122609,122609,37,64,"aprovado","2014-04-03 15:57:02","2014-04-03 15:57:02"
122611,122611,6,65,"aprovado","2014-04-03 16:33:11","2014-04-03 16:33:11"
122612,122612,6,66,"aprovado","2014-04-03 16:34:55","2014-04-03 16:34:55"
122613,122613,35,67,"aprovado","2014-04-03 16:38:51","2014-04-03 16:38:51"
122614,122614,35,68,"aprovado","2014-04-03 16:44:06","2014-04-03 16:44:06"
122617,122617,37,69,"aprovado","2014-04-03 16:59:56","2014-04-03 16:59:56"
122620,122620,12,70,"aprovado","2014-04-03 17:04:36","2014-04-03 17:04:36"
122621,122621,12,70,"aprovado","2014-04-03 17:04:36","2014-04-03 17:04:36"
122622,122622,12,70,"aprovado","2014-04-03 17:04:36","2014-04-03 17:04:36"
122646,122646,6,71,"aprovado","2014-04-03 18:23:25","2014-04-03 18:23:25"
122647,122647,6,71,"aprovado","2014-04-03 18:23:25","2014-04-03 18:23:25"
122648,122648,6,72,"aprovado","2014-04-03 18:42:33","2014-04-03 18:42:33"
122649,122649,6,72,"aprovado","2014-04-03 18:42:33","2014-04-03 18:42:33"
122650,122650,35,73,"aprovado","2014-04-03 18:51:27","2014-04-03 18:51:27"
122651,122651,35,73,"aprovado","2014-04-03 18:51:27","2014-04-03 18:51:27"
122652,122652,8,74,"aprovado","2014-04-03 18:58:03","2014-04-03 18:58:03"
122653,122653,8,74,"aprovado","2014-04-03 18:58:03","2014-04-03 18:58:03"
122654,122654,6,75,"aprovado","2014-04-03 19:26:51","2014-04-03 19:26:51"
122655,122655,6,75,"aprovado","2014-04-03 19:26:51","2014-04-03 19:26:51"
122662,122662,37,76,"aprovado","2014-04-03 20:39:16","2014-04-03 20:39:16"
122663,122663,37,76,"aprovado","2014-04-03 20:39:16","2014-04-03 20:39:16"
122664,122664,6,77,"aprovado","2014-04-03 20:58:42","2014-04-03 20:58:42"
122665,122665,6,77,"aprovado","2014-04-03 20:58:42","2014-04-03 20:58:42"
122666,122666,16,78,"aprovado","2014-04-03 21:00:40","2014-04-03 21:00:40"
122667,122667,16,78,"aprovado","2014-04-03 21:00:40","2014-04-03 21:00:40"
122669,122669,31,79,"aprovado","2014-04-03 22:41:31","2014-04-03 22:41:31"
122670,122670,6,80,"aprovado","2014-04-03 22:58:04","2014-04-03 22:58:04"
122671,122671,35,81,"aprovado","2014-04-04 00:53:46","2014-04-04 00:53:46"
